药品名称,厂家,start_date,减少数量,增加数量,期初金额(进价),期初金额占比,previous_增加数量,is_outlier,减少数量_adjusted
w3鱼油脂肪乳注射液,华瑞,2020-03-31,460.0,500.0,42272.0,1.0,400.0,0,460.0
w3鱼油脂肪乳注射液,华瑞,2020-04-30,1140.0,1240.0,47556.0,1.0,500.0,1,1061.9999999999998
w3鱼油脂肪乳注射液,华瑞,2020-05-31,660.0,700.0,121532.0,1.0,1240.0,0,660.0
w3鱼油脂肪乳注射液,华瑞,2020-06-30,701.0,900.0,0.0,1.0,700.0,0,701.0
w3鱼油脂肪乳注射液,华瑞,2020-07-31,900.0,900.0,52840.0,1.0,900.0,0,900.0
w3鱼油脂肪乳注射液,华瑞,2020-08-31,1100.0,900.0,26420.0,1.0,900.0,0,1100.0
w3鱼油脂肪乳注射液,华瑞,2020-09-30,1000.0,1800.0,158520.0,1.0,900.0,0,1000.0
w3鱼油脂肪乳注射液,华瑞,2020-10-31,800.0,400.0,105680.0,1.0,1800.0,0,800.0
w3鱼油脂肪乳注射液,华瑞,2020-11-30,1200.0,1000.0,26420.0,1.0,400.0,1,1170.0
w3鱼油脂肪乳注射液,华瑞,2020-12-31,1100.0,1000.0,52840.0,1.0,1000.0,0,1100.0
w3鱼油脂肪乳注射液,华瑞,2021-01-31,920.0,1520.0,158520.0,1.0,1000.0,0,920.0
w3鱼油脂肪乳注射液,华瑞,2021-02-28,700.0,1000.0,290620.0,1.0,1520.0,1,730.0
w3鱼油脂肪乳注射液,华瑞,2021-03-31,1300.0,300.0,52840.0,1.0,1000.0,1,1270.0
w3鱼油脂肪乳注射液,华瑞,2021-04-30,1060.0,1260.0,52840.0,1.0,300.0,0,1060.0
w3鱼油脂肪乳注射液,华瑞,2021-05-31,960.0,1060.0,26420.0,1.0,1260.0,0,960.0
w3鱼油脂肪乳注射液,华瑞,2021-06-30,720.0,620.0,36988.0,1.0,1060.0,0,720.0
w3鱼油脂肪乳注射液,华瑞,2021-07-31,960.0,860.0,58124.0,1.0,620.0,0,960.0
w3鱼油脂肪乳注射液,华瑞,2021-08-31,440.0,540.0,0.0,1.0,860.0,1,518.0
w3鱼油脂肪乳注射液,华瑞,2021-09-30,900.0,1200.0,52840.0,1.0,540.0,0,900.0
w3鱼油脂肪乳注射液,华瑞,2021-10-31,200.0,100.0,52840.0,1.0,1200.0,1,272.0
w3鱼油脂肪乳注射液,华瑞,2021-11-30,900.0,1100.0,52840.0,1.0,100.0,0,900.0
w3鱼油脂肪乳注射液,华瑞,2021-12-31,700.0,1200.0,52840.0,1.0,1100.0,0,700.0
w3鱼油脂肪乳注射液,华瑞,2022-01-31,900.0,500.0,105680.0,1.0,1200.0,0,900.0
w3鱼油脂肪乳注射液,华瑞,2022-02-28,800.0,600.0,52840.0,1.0,500.0,0,800.0
w3鱼油脂肪乳注射液,华瑞,2022-03-31,1500.0,1700.0,52840.0,1.0,600.0,1,1319.9999999999995
w3鱼油脂肪乳注射液,华瑞,2022-04-30,1500.0,1100.0,158520.0,1.0,1700.0,0,1500.0
w3鱼油脂肪乳注射液,华瑞,2022-05-31,1000.0,1500.0,132100.0,1.0,1100.0,0,1000.0
w3鱼油脂肪乳注射液,华瑞,2022-06-30,900.0,700.0,132100.0,1.0,1500.0,0,900.0
w3鱼油脂肪乳注射液,华瑞,2022-07-31,900.0,1000.0,105680.0,1.0,700.0,0,900.0
w3鱼油脂肪乳注射液,华瑞,2022-08-31,1200.0,1300.0,105680.0,1.0,1000.0,0,1200.0
w3鱼油脂肪乳注射液,华瑞,2022-09-30,800.0,900.0,52840.0,1.0,1300.0,1,830.0
w3鱼油脂肪乳注射液,华瑞,2022-10-31,700.0,400.0,132100.0,1.0,900.0,1,730.0
w3鱼油脂肪乳注射液,华瑞,2022-11-30,900.0,1100.0,26420.0,1.0,400.0,0,900.0
w3鱼油脂肪乳注射液,华瑞,2022-12-31,800.0,1200.0,237780.0,1.0,1100.0,0,800.0
w3鱼油脂肪乳注射液,华瑞,2023-01-31,700.0,400.0,158520.0,1.0,1200.0,0,700.0
w3鱼油脂肪乳注射液,华瑞,2023-02-28,700.0,300.0,79260.0,1.0,400.0,0,700.0
w3鱼油脂肪乳注射液,华瑞,2023-03-31,900.0,1100.0,158520.0,1.0,300.0,0,900.0
w3鱼油脂肪乳注射液,华瑞,2023-04-30,1020.0,1400.0,264200.0,1.0,1100.0,1,983.9999999999999
w3鱼油脂肪乳注射液,华瑞,2023-05-31,800.0,320.0,47556.0,1.0,1400.0,0,800.0
w3鱼油脂肪乳注射液,华瑞,2023-06-30,820.0,1260.0,52840.0,1.0,320.0,0,820.0
w3鱼油脂肪乳注射液,华瑞,2023-07-31,1780.0,1440.0,158520.0,1.0,1260.0,1,1551.9999999999995
w3鱼油脂肪乳注射液,华瑞,2023-08-31,900.0,900.0,52840.0,1.0,1440.0,0,900.0
w3鱼油脂肪乳注射液,华瑞,2023-09-30,840.0,660.0,121532.0,1.0,900.0,0,840.0
w3鱼油脂肪乳注射液,华瑞,2023-10-31,1565.0,1745.0,44343.0,1.0,660.0,0,1565.0
w3鱼油脂肪乳注射液,华瑞,2023-11-30,1645.0,1445.0,73905.0,1.0,1745.0,0,1645.0
w3鱼油脂肪乳注射液,华瑞,2023-12-31,998.0,1298.0,73905.0,1.0,1445.0,0,998.0
w3鱼油脂肪乳注射液,华瑞,2024-01-31,1100.0,1200.0,73905.0,1.0,1298.0,0,1100.0
w3鱼油脂肪乳注射液,华瑞,2024-02-29,700.0,400.0,172445.0,1.0,1200.0,1,742.0
w3鱼油脂肪乳注射液,华瑞,2024-03-31,1000.0,800.0,49270.0,1.0,400.0,0,1000.0
w3鱼油脂肪乳注射液,华瑞,2024-04-30,1600.0,1800.0,73905.0,1.0,800.0,0,1600.0
w3鱼油脂肪乳注射液,华瑞,2024-05-31,1000.0,1000.0,73905.0,1.0,1800.0,0,1000.0
w3鱼油脂肪乳注射液,华瑞,2024-06-30,1220.0,1700.0,44343.0,1.0,1000.0,0,1220.0
w3鱼油脂肪乳注射液,华瑞,2024-07-31,2600.0,1860.0,108394.0,1.0,1700.0,1,2299.999999999999
w3鱼油脂肪乳注射液,华瑞,2024-08-31,640.0,1400.0,108394.0,1.0,1860.0,1,658.0
一次性使用注射笔用针头,苏碧迪,2018-01-31,20020.0,14000.0,13120.8,1.0,,0,20020.0
一次性使用注射笔用针头,苏碧迪,2018-02-28,12880.0,9800.0,9542.4,1.0,14000.0,1,13237.0
一次性使用注射笔用针头,苏碧迪,2018-03-31,15400.0,23520.0,17892.0,1.0,9800.0,0,15400.0
一次性使用注射笔用针头,苏碧迪,2018-04-30,18200.0,15400.0,11629.8,1.0,23520.0,0,18200.0
一次性使用注射笔用针头,苏碧迪,2018-05-31,12460.0,9800.0,8349.6,1.0,15400.0,1,12544.0
一次性使用注射笔用针头,苏碧迪,2018-06-30,13020.0,15400.0,11033.4,1.0,9800.0,0,13020.0
一次性使用注射笔用针头,苏碧迪,2018-07-31,17920.0,18200.0,8647.8,1.0,15400.0,0,17920.0
一次性使用注射笔用针头,苏碧迪,2018-08-31,12460.0,9800.0,2385.6,1.0,18200.0,0,12460.0
一次性使用注射笔用针头,苏碧迪,2018-09-30,19600.0,25200.0,23856.0,1.0,9800.0,1,19180.0
一次性使用注射笔用针头,苏碧迪,2018-10-31,15400.0,7000.0,5964.0,1.0,25200.0,0,15400.0
一次性使用注射笔用针头,苏碧迪,2018-11-30,14000.0,14000.0,5964.0,1.0,7000.0,0,14000.0
一次性使用注射笔用针头,苏碧迪,2018-12-31,18200.0,28000.0,29820.0,1.0,14000.0,0,18200.0
一次性使用注射笔用针头,苏碧迪,2019-01-31,18480.0,21000.0,20874.0,1.0,28000.0,0,18480.0
一次性使用注射笔用针头,苏碧迪,2019-02-28,8820.0,4200.0,4771.2,1.0,21000.0,1,9912.0
一次性使用注射笔用针头,苏碧迪,2019-03-31,16800.0,16800.0,7455.0,1.0,4200.0,0,16800.0
一次性使用注射笔用针头,苏碧迪,2019-04-30,16940.0,16800.0,10138.8,1.0,16800.0,0,16940.0
一次性使用注射笔用针头,苏碧迪,2019-05-31,14140.0,16800.0,12822.6,1.0,16800.0,0,14140.0
一次性使用注射笔用针头,苏碧迪,2019-06-30,14000.0,11200.0,15804.6,1.0,16800.0,0,14000.0
一次性使用注射笔用针头,苏碧迪,2019-07-31,15680.0,12600.0,8349.6,1.0,11200.0,0,15680.0
一次性使用注射笔用针头,苏碧迪,2019-08-31,15120.0,12600.0,8946.0,1.0,12600.0,0,15120.0
一次性使用注射笔用针头,苏碧迪,2019-09-30,21840.0,28840.0,17892.0,1.0,12600.0,1,20369.999999999996
一次性使用注射笔用针头,苏碧迪,2019-10-31,14308.0,12600.0,8588.16,1.0,28840.0,0,14308.0
一次性使用注射笔用针头,苏碧迪,2019-11-30,19292.0,16800.0,11928.0,1.0,12600.0,0,19292.0
一次性使用注射笔用针头,苏碧迪,2019-12-31,25200.0,28000.0,20874.0,1.0,16800.0,1,24191.999999999996
一次性使用注射笔用针头,苏碧迪,2020-01-31,11340.0,8400.0,14611.8,1.0,28000.0,1,12230.4
一次性使用注射笔用针头,苏碧迪,2020-02-29,11060.0,11200.0,17892.0,1.0,8400.0,1,11144.0
一次性使用注射笔用针头,苏碧迪,2020-03-31,12600.0,16800.0,14910.0,1.0,11200.0,0,12600.0
一次性使用注射笔用针头,苏碧迪,2020-04-30,12880.0,14000.0,14313.6,1.0,16800.0,0,12880.0
一次性使用注射笔用针头,苏碧迪,2020-05-31,16940.0,7000.0,14313.6,1.0,14000.0,0,16940.0
一次性使用注射笔用针头,苏碧迪,2020-06-30,15681.0,26180.0,16401.0,1.0,7000.0,0,15681.0
一次性使用注射笔用针头,苏碧迪,2020-07-31,17220.0,15400.0,15506.4,1.0,26180.0,1,17136.0
一次性使用注射笔用针头,苏碧迪,2020-08-31,22680.0,22400.0,8946.0,1.0,15400.0,1,21041.999999999996
一次性使用注射笔用针头,苏碧迪,2020-09-30,21280.0,30800.0,23259.6,1.0,22400.0,0,21280.0
一次性使用注射笔用针头,苏碧迪,2020-10-31,14420.0,7000.0,22365.0,1.0,30800.0,0,14420.0
一次性使用注射笔用针头,苏碧迪,2020-11-30,26880.0,19600.0,7455.0,1.0,7000.0,1,25619.999999999996
一次性使用注射笔用针头,苏碧迪,2020-12-31,18620.0,18200.0,17892.0,1.0,19600.0,0,18620.0
一次性使用注射笔用针头,苏碧迪,2021-01-31,24148.0,43400.0,11246.4,1.0,18200.0,0,24148.0
一次性使用注射笔用针头,苏碧迪,2021-02-28,12600.0,8400.0,46970.76,1.0,43400.0,1,13146.0
一次性使用注射笔用针头,苏碧迪,2021-03-31,26532.0,12600.0,8349.6,1.0,8400.0,0,26532.0
一次性使用注射笔用针头,苏碧迪,2021-04-30,25480.0,28000.0,20277.6,1.0,12600.0,0,25480.0
一次性使用注射笔用针头,苏碧迪,2021-05-31,20720.0,19600.0,8946.0,1.0,28000.0,0,20720.0
一次性使用注射笔用针头,苏碧迪,2021-06-30,22120.0,21000.0,5367.6,1.0,19600.0,0,22120.0
一次性使用注射笔用针头,苏碧迪,2021-07-31,19880.0,23800.0,23856.0,1.0,21000.0,0,19880.0
一次性使用注射笔用针头,苏碧迪,2021-08-31,22400.0,22400.0,11331.6,1.0,23800.0,0,22400.0
一次性使用注射笔用针头,苏碧迪,2021-09-30,22680.0,30800.0,19681.2,1.0,22400.0,0,22680.0
一次性使用注射笔用针头,苏碧迪,2021-10-31,21280.0,15400.0,25048.8,1.0,30800.0,0,21280.0
一次性使用注射笔用针头,苏碧迪,2021-11-30,23380.0,21000.0,16997.4,1.0,15400.0,1,23170.0
一次性使用注射笔用针头,苏碧迪,2021-12-31,25760.0,35000.0,19383.0,1.0,21000.0,1,25046.0
一次性使用注射笔用针头,苏碧迪,2022-01-31,25480.0,28000.0,42046.2,1.0,35000.0,0,25480.0
一次性使用注射笔用针头,苏碧迪,2022-02-28,17220.0,4200.0,17892.0,1.0,28000.0,1,18438.0
一次性使用注射笔用针头,苏碧迪,2022-03-31,24080.0,30800.0,19681.2,1.0,4200.0,0,24080.0
一次性使用注射笔用针头,苏碧迪,2022-04-30,27440.0,30800.0,45624.6,1.0,30800.0,1,26936.0
一次性使用注射笔用针头,苏碧迪,2022-05-31,22400.0,12600.0,29820.0,1.0,30800.0,0,22400.0
一次性使用注射笔用针头,苏碧迪,2022-06-30,20440.0,26600.0,31012.8,1.0,12600.0,0,20440.0
一次性使用注射笔用针头,苏碧迪,2022-07-31,25200.0,23800.0,22066.8,1.0,26600.0,0,25200.0
一次性使用注射笔用针头,苏碧迪,2022-08-31,28560.0,29400.0,23856.0,1.0,23800.0,1,28224.0
一次性使用注射笔用针头,苏碧迪,2022-09-30,22960.0,28000.0,32205.6,1.0,29400.0,0,22960.0
一次性使用注射笔用针头,苏碧迪,2022-10-31,30940.0,22400.0,13419.0,1.0,28000.0,1,30226.0
一次性使用注射笔用针头,苏碧迪,2022-11-30,32900.0,37800.0,12822.6,1.0,22400.0,1,32312.0
一次性使用注射笔用针头,苏碧迪,2022-12-31,21560.0,26600.0,40555.2,1.0,37800.0,0,21560.0
一次性使用注射笔用针头,苏碧迪,2023-01-31,35560.0,37800.0,54272.4,1.0,26600.0,1,34762.0
一次性使用注射笔用针头,苏碧迪,2023-02-28,24920.0,14000.0,11331.6,1.0,37800.0,0,24920.0
一次性使用注射笔用针头,苏碧迪,2023-03-31,26600.0,36400.0,31012.8,1.0,14000.0,0,26600.0
一次性使用注射笔用针头,苏碧迪,2023-04-30,41160.0,49000.0,39362.4,1.0,36400.0,1,39479.99999999999
一次性使用注射笔用针头,苏碧迪,2023-05-31,26180.0,5600.0,21768.6,1.0,49000.0,0,26180.0
一次性使用注射笔用针头,苏碧迪,2023-06-30,24780.0,28000.0,17295.6,1.0,5600.0,0,24780.0
一次性使用注射笔用针头,苏碧迪,2023-07-31,40880.0,46200.0,16102.8,1.0,28000.0,0,40880.0
一次性使用注射笔用针头,苏碧迪,2023-08-31,10080.0,1400.0,15506.4,1.0,46200.0,1,14490.0
一次性使用注射笔用针头,苏碧迪,2023-09-30,1960.0,0.0,11331.6,1.0,1400.0,1,4396.0
一次性使用注射笔用针头,苏碧迪,2023-10-31,1680.0,0.0,9244.2,1.0,0.0,1,1764.0
一次性使用注射笔用针头,苏碧迪,2023-11-30,280.0,0.0,7156.8,1.0,0.0,1,700.0
一次性使用注射笔用针头,苏碧迪,2023-12-31,1260.0,0.0,5964.0,1.0,0.0,0,1260.0
一次性使用注射笔用针头,苏碧迪,2024-01-31,560.0,0.0,3280.2,1.0,0.0,0,560.0
一次性使用注射笔用针头,苏碧迪,2024-02-29,420.0,0.0,2385.6,1.0,0.0,0,420.0
一次性使用注射笔用针头,苏碧迪,2024-03-31,1120.0,0.0,894.6,1.0,0.0,0,1120.0
一次性使用注射笔用针头,苏碧迪,2024-04-30,980.0,2800.0,3876.6,1.0,0.0,0,980.0
一次性使用注射笔用针头,苏碧迪,2024-05-31,0.0,0.0,3876.6,1.0,2800.0,1,84.00000000000001
一次性使用注射笔用针头,苏碧迪,2024-06-30,1820.0,1400.0,2982.0,1.0,0.0,1,1651.9999999999995
一次性使用注射笔用针头,苏碧迪,2024-07-31,420.0,0.0,2087.4,1.0,1400.0,0,420.0
一次性使用注射笔用针头,苏碧迪,2024-08-31,980.0,0.0,0.0,1.0,0.0,0,980.0
一清胶囊,成都康弘,2018-01-31,960.0,2240.0,6227.2,1.0,,0,960.0
一清胶囊,成都康弘,2018-02-28,960.0,0.0,12454.4,1.0,2240.0,0,960.0
一清胶囊,成都康弘,2018-03-31,640.0,640.0,6227.2,1.0,0.0,1,672.0
一清胶囊,成都康弘,2018-04-30,960.0,960.0,12454.4,1.0,640.0,0,960.0
一清胶囊,成都康弘,2018-05-31,320.0,640.0,6227.2,1.0,960.0,1,384.0
一清胶囊,成都康弘,2018-06-30,640.0,640.0,12454.4,1.0,640.0,0,640.0
一清胶囊,成都康弘,2018-07-31,990.0,960.0,11870.6,1.0,640.0,1,981.0
一清胶囊,成都康弘,2018-08-31,640.0,640.0,5643.4,1.0,960.0,0,640.0
一清胶囊,成都康弘,2018-09-30,640.0,1920.0,11870.6,1.0,640.0,0,640.0
一清胶囊,成都康弘,2018-10-31,640.0,0.0,24325.0,1.0,1920.0,0,640.0
一清胶囊,成都康弘,2018-11-30,930.0,0.0,12454.4,1.0,0.0,0,930.0
一清胶囊,成都康弘,2018-12-31,320.0,960.0,18681.6,1.0,0.0,1,416.0
一清胶囊,成都康弘,2019-01-31,960.0,1600.0,37363.2,1.0,960.0,0,960.0
一清胶囊,成都康弘,2019-02-28,320.0,0.0,24908.8,1.0,1600.0,0,320.0
一清胶囊,成都康弘,2019-03-31,640.0,640.0,12454.4,1.0,0.0,0,640.0
一清胶囊,成都康弘,2019-04-30,960.0,1280.0,18681.6,1.0,640.0,0,960.0
一清胶囊,成都康弘,2019-05-31,320.0,1280.0,18681.6,1.0,1280.0,0,320.0
一清胶囊,成都康弘,2019-06-30,990.0,0.0,30552.2,1.0,1280.0,1,981.0
一清胶囊,成都康弘,2019-07-31,1920.0,2560.0,11870.6,1.0,0.0,1,1640.9999999999993
一清胶囊,成都康弘,2019-08-31,1630.0,320.0,11286.8,1.0,2560.0,0,1630.0
一清胶囊,成都康弘,2019-09-30,2180.0,2560.0,6227.2,1.0,320.0,1,2102.0
一清胶囊,成都康弘,2019-10-31,1920.0,1920.0,18681.6,1.0,2560.0,0,1920.0
一清胶囊,成都康弘,2019-11-30,2240.0,2240.0,6227.2,1.0,1920.0,1,2222.0
一清胶囊,成都康弘,2019-12-31,3200.0,3200.0,18681.6,1.0,2240.0,1,2911.999999999999
一清胶囊,成都康弘,2020-01-31,2580.0,2560.0,24519.6,1.0,3200.0,0,2580.0
一清胶囊,成都康弘,2020-02-29,30.0,0.0,23935.8,1.0,2560.0,1,510.00000000000006
一清胶囊,成都康弘,2020-03-31,1870.0,1920.0,12454.4,1.0,0.0,0,1870.0
一清胶囊,成都康弘,2020-04-30,2880.0,3200.0,12454.4,1.0,1920.0,0,2880.0
一清胶囊,成都康弘,2020-05-31,3200.0,3520.0,31136.0,1.0,3200.0,0,3200.0
一清胶囊,成都康弘,2020-06-30,3239.0,4457.0,17514.0,1.0,3520.0,1,3227.3
一清胶囊,成都康弘,2020-07-31,3830.0,4480.0,17708.6,1.0,4457.0,1,3652.7
一清胶囊,成都康弘,2020-08-31,4260.0,3250.0,29190.0,1.0,4480.0,1,4131.0
一清胶囊,成都康弘,2020-09-30,2880.0,5440.0,35417.2,1.0,3250.0,0,2880.0
一清胶囊,成都康弘,2020-10-31,3210.0,640.0,29190.0,1.0,5440.0,0,3210.0
一清胶囊,成都康弘,2020-11-30,3250.0,4480.0,15568.0,1.0,640.0,0,3250.0
一清胶囊,成都康弘,2020-12-31,2880.0,1920.0,15568.0,1.0,4480.0,0,2880.0
一清胶囊,成都康弘,2021-01-31,3600.0,4480.0,33082.0,1.0,1920.0,0,3600.0
一清胶囊,成都康弘,2021-02-28,2320.0,1600.0,45147.2,1.0,4480.0,1,2488.0
一清胶囊,成都康弘,2021-03-31,5120.0,5760.0,24908.8,1.0,1600.0,1,4663.999999999999
一清胶囊,成都康弘,2021-04-30,3250.0,2560.0,23935.8,1.0,5760.0,0,3250.0
一清胶囊,成都康弘,2021-05-31,3790.0,3520.0,12454.4,1.0,2560.0,0,3790.0
一清胶囊,成都康弘,2021-06-30,3540.0,3520.0,31136.0,1.0,3520.0,0,3540.0
一清胶囊,成都康弘,2021-07-31,3180.0,3520.0,18681.6,1.0,3520.0,0,3180.0
一清胶囊,成都康弘,2021-08-31,4480.0,4800.0,24908.8,1.0,3520.0,0,4480.0
一清胶囊,成都康弘,2021-09-30,3930.0,4480.0,35611.8,1.0,4800.0,0,3930.0
一清胶囊,成都康弘,2021-10-31,3850.0,4160.0,43590.4,1.0,4480.0,0,3850.0
一清胶囊,成都康弘,2021-11-30,5390.0,5120.0,18681.6,1.0,4160.0,1,5116.999999999999
一清胶囊,成都康弘,2021-12-31,3620.0,3200.0,34444.2,1.0,5120.0,0,3620.0
一清胶囊,成都康弘,2022-01-31,4610.0,4800.0,31914.4,1.0,3200.0,0,4610.0
一清胶囊,成都康弘,2022-02-28,3240.0,3200.0,18681.6,1.0,4800.0,1,3354.0
一清胶囊,成都康弘,2022-03-31,3860.0,4480.0,35417.2,1.0,3200.0,0,3860.0
一清胶囊,成都康弘,2022-04-30,2220.0,1600.0,12065.2,1.0,4480.0,1,2526.0
一清胶囊,成都康弘,2022-05-31,4260.0,4480.0,31136.0,1.0,1600.0,0,4260.0
一清胶囊,成都康弘,2022-06-30,4060.0,4160.0,27244.0,1.0,4480.0,0,4060.0
一清胶囊,成都康弘,2022-07-31,3940.0,2560.0,18681.6,1.0,4160.0,0,3940.0
一清胶囊,成都康弘,2022-08-31,5020.0,6080.0,12454.4,1.0,2560.0,1,4791.999999999999
一清胶囊,成都康弘,2022-09-30,5120.0,6080.0,43590.4,1.0,6080.0,1,5090.0
一清胶囊,成都康弘,2022-10-31,3920.0,2560.0,43006.6,1.0,6080.0,0,3920.0
一清胶囊,成都康弘,2022-11-30,4400.0,5440.0,18681.6,1.0,2560.0,0,4400.0
一清胶囊,成都康弘,2022-12-31,3520.0,3200.0,43590.4,1.0,5440.0,1,3640.0
一清胶囊,成都康弘,2023-01-31,4160.0,3520.0,6227.2,1.0,3200.0,0,4160.0
一清胶囊,成都康弘,2023-02-28,4160.0,4800.0,24908.8,1.0,3520.0,0,4160.0
一清胶囊,成都康弘,2023-03-31,4040.0,4160.0,34444.2,1.0,4800.0,0,4040.0
一清胶囊,成都康弘,2023-04-30,5240.0,6080.0,37363.2,1.0,4160.0,1,4987.999999999999
一清胶囊,成都康弘,2023-05-31,4090.0,2240.0,23935.8,1.0,6080.0,0,4090.0
一清胶囊,成都康弘,2023-06-30,3910.0,4800.0,43590.4,1.0,2240.0,0,3910.0
一清胶囊,成都康弘,2023-07-31,4540.0,3520.0,31136.0,1.0,4800.0,0,4540.0
一清胶囊,成都康弘,2023-08-31,3910.0,4880.0,23935.8,1.0,3520.0,0,3910.0
一清胶囊,成都康弘,2023-09-30,3620.0,4310.0,37363.2,1.0,4880.0,1,3707.0
一清胶囊,成都康弘,2023-10-31,3520.0,1280.0,18681.6,1.0,4310.0,1,3550.0
一清胶囊,成都康弘,2023-11-30,3230.0,4160.0,30552.2,1.0,1280.0,1,3317.0
一清胶囊,成都康弘,2023-12-31,2660.0,1600.0,16151.8,1.0,4160.0,1,2831.0
一清胶囊,成都康弘,2024-01-31,4350.0,6400.0,43590.4,1.0,1600.0,0,4350.0
一清胶囊,成都康弘,2024-02-29,2880.0,1600.0,9924.6,1.0,6400.0,0,2880.0
一清胶囊,成都康弘,2024-03-31,3280.0,3500.0,22962.8,1.0,1600.0,0,3280.0
一清胶囊,成都康弘,2024-04-30,1180.0,0.0,0.0,1.0,3500.0,1,1624.0
一清胶囊,成都康弘,2024-05-31,0.0,0.0,0.0,1.0,0.0,1,354.00000000000006
一清胶囊,成都康弘,2024-06-30,0.0,0.0,0.0,1.0,0.0,0,0.0
一清胶囊,成都康弘,2024-07-31,3680.0,4480.0,18681.6,1.0,0.0,0,3680.0
一清胶囊,成都康弘,2024-08-31,3240.0,2880.0,21795.2,1.0,4480.0,0,3240.0
丁硼乳膏,宁波立华,2018-01-31,960.0,400.0,4920.0,1.0,,0,960.0
丁硼乳膏,宁波立华,2018-02-28,600.0,400.0,4551.0,1.0,400.0,1,618.0
丁硼乳膏,宁波立华,2018-03-31,520.0,1000.0,3444.0,1.0,400.0,1,528.0
丁硼乳膏,宁波立华,2018-04-30,820.0,400.0,3198.0,1.0,1000.0,0,820.0
丁硼乳膏,宁波立华,2018-05-31,680.0,1000.0,4674.0,1.0,400.0,0,680.0
丁硼乳膏,宁波立华,2018-06-30,860.0,600.0,2091.0,1.0,1000.0,0,860.0
丁硼乳膏,宁波立华,2018-07-31,920.0,1000.0,2460.0,1.0,600.0,0,920.0
丁硼乳膏,宁波立华,2018-08-31,1000.0,1000.0,0.0,1.0,1000.0,1,976.0
丁硼乳膏,宁波立华,2018-09-30,800.0,600.0,2091.0,1.0,1000.0,0,800.0
丁硼乳膏,宁波立华,2018-10-31,620.0,800.0,4674.0,1.0,600.0,1,638.0
丁硼乳膏,宁波立华,2018-11-30,980.0,1000.0,2460.0,1.0,800.0,0,980.0
丁硼乳膏,宁波立华,2018-12-31,820.0,1000.0,7134.0,1.0,1000.0,0,820.0
丁硼乳膏,宁波立华,2019-01-31,1180.0,800.0,2460.0,1.0,1000.0,1,1125.9999999999998
丁硼乳膏,宁波立华,2019-02-28,400.0,400.0,2460.0,1.0,800.0,1,466.0
