药品名称,厂家,增加数量,减少数量,期初金额(进价),start_date,end_date
头孢克洛干混悬剂,苏州西克罗,200.0,-250.0,13713.0,2018-01-01,2018-01-07
头孢克肟分散片,广州白云山,3600.0,-2170.0,111585.8,2018-01-01,2018-01-07
头孢克洛胶囊,苏州中化,0.0,-350.0,6170.5,2018-01-01,2018-01-07
头孢美唑钠,日本三共,0.0,0.0,0.0,2018-01-01,2018-01-07
头孢孟多酯钠,沪新先锋,0.0,0.0,0.0,2018-01-01,2018-01-07
盐酸头孢替安,哈药总厂,0.0,0.0,0.0,2018-01-01,2018-01-07
头孢替安,沪新先锋,0.0,0.0,0.0,2018-01-01,2018-01-07
注射用头孢西丁钠,海口,0.0,-600.0,47898.0,2018-01-01,2018-01-07
拉氧头孢钠,海南海灵,0.0,0.0,0.0,2018-01-01,2018-01-07
头孢克肟干混悬剂,深圳立健,0.0,0.0,0.0,2018-01-01,2018-01-07
头孢地尼颗粒,西安杨森,0.0,0.0,0.0,2018-01-01,2018-01-07
头孢地尼,津中央药业,0.0,0.0,0.0,2018-01-01,2018-01-07
头孢地秦,鲁抗鲁亚,0.0,0.0,0.0,2018-01-01,2018-01-07
头孢地嗪钠,珠海丽珠,0.0,0.0,0.0,2018-01-01,2018-01-07
头孢克肟,深圳制药厂,0.0,0.0,0.0,2018-01-01,2018-01-07
注射用头孢米诺钠,汕头明治,3800.0,-1000.0,240950.0,2018-01-01,2018-01-07
头孢哌酮钠,大连辉瑞,0.0,0.0,0.0,2018-01-01,2018-01-07
注射用头孢曲松钠,沪罗氏,1980.0,-1540.0,98263.6,2018-01-01,2018-01-07
注射用盐酸头孢替安,上海新亚,5400.0,-3600.0,9060.0,2018-01-01,2018-01-07
注射用盐酸头孢替安,上海新亚,0.0,-900.0,118179.0,2018-01-01,2018-01-07
头孢噻肟钠,河北华民,0.0,0.0,0.0,2018-01-01,2018-01-07
注射用头孢他啶,葛兰素史克,0.0,0.0,0.0,2018-01-01,2018-01-07
头孢他啶,国药国瑞,0.0,0.0,0.0,2018-01-01,2018-01-07
盐酸头孢他美酯,浙江震元,0.0,0.0,0.0,2018-01-01,2018-01-07
盐酸头孢他美酯,哈药总厂,0.0,0.0,0.0,2018-01-01,2018-01-07
头孢特仑新戊酯片,广州南新,0.0,0.0,0.0,2018-01-01,2018-01-07
头孢唑肟,琼通用三洋,0.0,0.0,0.0,2018-01-01,2018-01-07
注射用头孢唑肟钠,西南药业,0.0,-1600.0,226860.0,2018-01-01,2018-01-07
注射用盐酸头孢吡肟,沪施贵宝,0.0,0.0,0.0,2018-01-01,2018-01-07
头孢泊肟酯,浙江亚太,0.0,0.0,0.0,2018-01-01,2018-01-07
注射用阿莫西林钠克拉维酸钾,华北制药,0.0,0.0,0.0,2018-01-01,2018-01-07
阿莫西林克拉维酸钾,鲁南制药,0.0,0.0,0.0,2018-01-01,2018-01-07
注射用阿莫西林钠克拉维酸钾,联邦,0.0,0.0,1966.0,2018-01-01,2018-01-07
阿莫西林克拉维酸钾干混悬剂,珠海联邦,0.0,0.0,627.5,2018-01-01,2018-01-07
阿莫西林舒巴坦钠,湘北威尔曼,0.0,0.0,0.0,2018-01-01,2018-01-07
阿莫西林舒巴坦钠,哈药总厂,0.0,0.0,0.0,2018-01-01,2018-01-07
氨苄西林钠舒巴坦钠,意大利辉瑞,0.0,0.0,0.0,2018-01-01,2018-01-07
美洛西林钠舒巴坦钠,山西仟源,0.0,0.0,0.0,2018-01-01,2018-01-07
美洛西林钠舒巴坦钠,山东瑞阳,0.0,0.0,0.0,2018-01-01,2018-01-07
注射用哌拉西林钠他唑巴坦钠,珠海联邦,0.0,-800.0,48960.0,2018-01-01,2018-01-07
注射用哌拉西林钠他唑巴坦钠,珠海联邦,0.0,0.0,0.0,2018-01-01,2018-01-07
注射用哌拉西林钠他唑巴坦钠,惠氏制药,2324.0,-2124.0,40194.0,2018-01-01,2018-01-07
头孢哌酮舒巴坦,哈药总厂,0.0,0.0,0.0,2018-01-01,2018-01-07
注射用头孢哌酮钠舒巴坦钠,辉瑞,2160.0,-2160.0,158433.6,2018-01-01,2018-01-07
注射用头孢噻肟钠舒巴坦钠,湘北威尔曼,600.0,-600.0,70956.0,2018-01-01,2018-01-07
注射用美罗培南,深圳海滨,0.0,0.0,0.0,2018-01-01,2018-01-07
注射用亚胺培南西司他丁钠,杭州默沙东,0.0,-750.0,229477.0,2018-01-01,2018-01-07
注射用美罗培南,珠海联邦,600.0,-1000.0,140760.0,2018-01-01,2018-01-07
阿米卡星滴眼液,川方向药业,0.0,0.0,0.0,2018-01-01,2018-01-07
硫酸阿米卡星注射液,沪信谊金朱,0.0,0.0,0.0,2018-01-01,2018-01-07
硫酸阿米卡星注射液,沪禾丰,0.0,0.0,1277.5,2018-01-01,2018-01-07
硫酸阿米卡星注射液,沪中西,0.0,0.0,0.0,2018-01-01,2018-01-07
硫酸卡那霉素,武汉五景,0.0,0.0,0.0,2018-01-01,2018-01-07
硫酸阿米卡星注射液,齐鲁制药,0.0,0.0,0.0,2018-01-01,2018-01-07
硫酸卡那霉素,南京金陵,0.0,0.0,0.0,2018-01-01,2018-01-07
硫酸庆大霉素,沪第一生化,0.0,0.0,0.0,2018-01-01,2018-01-07
硫酸依替米星注射液,无锡济民可信山禾,1080.0,-1860.0,30108.0,2018-01-01,2018-01-07
硫酸异帕米星,日本旭化成,0.0,0.0,0.0,2018-01-01,2018-01-07
妥布霉素,南京恒生,0.0,0.0,0.0,2018-01-01,2018-01-07
妥布霉素滴眼液,爱尔康,1478.0,-1508.0,11467.5,2018-01-01,2018-01-07
硫酸妥布霉素,沪第一生化,0.0,0.0,0.0,2018-01-01,2018-01-07
妥布霉素地塞米松滴眼液,爱尔康,0.0,-80.0,49541.8,2018-01-01,2018-01-07
大观霉素,山东鲁抗,0.0,0.0,0.0,2018-01-01,2018-01-07
盐酸四环素醋酸可的松眼膏,南京白敬宇,0.0,0.0,172.0,2018-01-01,2018-01-07
盐酸金霉素眼膏,京双吉,0.0,0.0,0.0,2018-01-01,2018-01-07
盐酸多西环素片,开封制药,0.0,0.0,0.0,2018-01-01,2018-01-07
盐酸金霉素眼膏,南京白敬宇,0.0,-150.0,1100.0,2018-01-01,2018-01-07
盐酸金霉素眼膏,沪通用药业,0.0,0.0,0.0,2018-01-01,2018-01-07
盐酸米诺环素,海口市制药,0.0,0.0,0.0,2018-01-01,2018-01-07
盐酸米诺环素软膏,Sunstar,0.0,0.0,0.0,2018-01-01,2018-01-07
盐酸米诺环素胶囊,瀚晖制药,300.0,-300.0,3654.72,2018-01-01,2018-01-07
阿奇霉素肠溶胶囊,浙华润众益,1198.0,-1698.0,22170.0,2018-01-01,2018-01-07
注射用门冬氨酸阿奇霉素,海南斯达,0.0,0.0,0.0,2018-01-01,2018-01-07
阿奇霉素,沪现代,0.0,0.0,0.0,2018-01-01,2018-01-07
阿奇霉素片,浙华润众益,0.0,0.0,0.0,2018-01-01,2018-01-07
注射用阿奇霉素,东北制药,0.0,0.0,12632.0,2018-01-01,2018-01-07
阿奇霉素颗粒,辅仁药业,0.0,0.0,0.0,2018-01-01,2018-01-07
阿奇霉素片[希舒美],辉瑞,160.0,-340.0,44009.0,2018-01-01,2018-01-07
阿奇霉素干混悬剂,辉瑞,1050.0,-1050.0,11400.0,2018-01-01,2018-01-07
地红霉素,广东万基,0.0,0.0,0.0,2018-01-01,2018-01-07
红霉素软膏,沪通用药业,0.0,0.0,0.0,2018-01-01,2018-01-07
红霉素,沪通用药业,0.0,0.0,0.0,2018-01-01,2018-01-07
乳糖酸红霉素,沪新先锋,0.0,0.0,0.0,2018-01-01,2018-01-07
琥乙红霉素,西安利君,0.0,0.0,0.0,2018-01-01,2018-01-07
琥乙红霉素,西安利君,0.0,0.0,0.0,2018-01-01,2018-01-07
克拉霉素分散片,苏海岸,0.0,-200.0,6300.0,2018-01-01,2018-01-07
克拉霉素,杭中美华东,0.0,0.0,0.0,2018-01-01,2018-01-07
克拉霉素缓释片,江苏恒瑞,2000.0,-600.0,2940.0,2018-01-01,2018-01-07
罗红霉素,法国安万特,0.0,0.0,0.0,2018-01-01,2018-01-07
罗红霉素,扬子江药业,0.0,0.0,0.0,2018-01-01,2018-01-07
乙酰吉他霉素,长春海王,0.0,0.0,0.0,2018-01-01,2018-01-07
乙酰麦迪霉素,石家庄欧意,0.0,0.0,0.0,2018-01-01,2018-01-07
注射用替考拉宁,浙江新昌,200.0,-200.0,63264.0,2018-01-01,2018-01-07
注射用替考拉宁,赛诺菲,0.0,-240.0,185875.2,2018-01-01,2018-01-07
注射用盐酸去甲万古霉素,华北制药,600.0,-400.0,16188.0,2018-01-01,2018-01-07
注射用盐酸万古霉素,浙江新昌,300.0,-500.0,31224.0,2018-01-01,2018-01-07
注射用盐酸万古霉素,礼来,0.0,-480.0,140246.4,2018-01-01,2018-01-07
复方磺胺甲噁唑片,白云山总厂,0.0,0.0,0.0,2018-01-01,2018-01-07
磺胺甲噁唑-甲氧苄啶,南京白敬宇,0.0,0.0,0.0,2018-01-01,2018-01-07
复方磺胺甲噁唑片,沪新亚闵行,0.0,0.0,500.0,2018-01-01,2018-01-07
磺胺醋酰钠滴眼液,武汉五景,0.0,0.0,0.0,2018-01-01,2018-01-07
柳氮磺吡啶肠溶片,沪信谊天平,0.0,0.0,0.0,2018-01-01,2018-01-07
柳氮磺吡啶肠溶片,沪信谊天平,0.0,-270.0,12474.5,2018-01-01,2018-01-07
柳氮磺吡啶肠溶片,沪三维制药,0.0,0.0,0.0,2018-01-01,2018-01-07
乳酸环丙沙星,广州南新,0.0,0.0,0.0,2018-01-01,2018-01-07
乳酸环丙沙星氯化钠注射液,广州南新,0.0,0.0,0.0,2018-01-01,2018-01-07
盐酸环丙沙星,浙江新昌,0.0,0.0,0.0,2018-01-01,2018-01-07
盐酸莫西沙星注射液,南京优科,600.0,-400.0,96930.0,2018-01-01,2018-01-07
盐酸莫西沙星片,四川国为,0.0,0.0,0.0,2018-01-01,2018-01-07
甲苯磺酸妥舒沙星,珠海生化厂,0.0,0.0,0.0,2018-01-01,2018-01-07
甲磺酸培氟沙星葡萄糖,琼长安,0.0,0.0,0.0,2018-01-01,2018-01-07
培氟沙星,琼长安国际,0.0,0.0,0.0,2018-01-01,2018-01-07
盐酸洛美沙星滴耳液,武汉五景,0.0,0.0,0.0,2018-01-01,2018-01-07
盐酸洛美沙星滴耳液,黑龙桂,400.0,-40.0,798.4,2018-01-01,2018-01-07
盐酸洛美沙星滴耳液,黑龙桂,0.0,0.0,0.0,2018-01-01,2018-01-07
盐酸洛美沙星,正大青春宝,0.0,0.0,0.0,2018-01-01,2018-01-07
盐酸洛美沙星眼用凝胶,南京白敬宇,0.0,0.0,0.0,2018-01-01,2018-01-07
盐酸洛美沙星滴耳液,武汉诺安,0.0,0.0,0.0,2018-01-01,2018-01-07
诺氟沙星,浙江新昌,0.0,0.0,0.0,2018-01-01,2018-01-07
盐酸莫西沙星片,拜耳,810.0,-50.0,12935.3,2018-01-01,2018-01-07
盐酸莫西沙星氯化钠注射液,拜耳,320.0,-320.0,20261.6,2018-01-01,2018-01-07
氧氟沙星阴道泡腾片,泰州中天,0.0,0.0,0.0,2018-01-01,2018-01-07
氧氟沙星,日本参天,0.0,0.0,0.0,2018-01-01,2018-01-07
盐酸左氧氟沙星滴耳液,武汉诺安,0.0,0.0,0.0,2018-01-01,2018-01-07
氧氟沙星滴眼液,武汉五景,0.0,0.0,0.0,2018-01-01,2018-01-07
氧氟沙星眼膏,辰欣药业,0.0,-10.0,6387.8,2018-01-01,2018-01-07
氧氟沙星眼膏,沪通用,0.0,0.0,0.0,2018-01-01,2018-01-07
氧氟沙星眼膏,沈阳兴齐,0.0,0.0,7294.92,2018-01-01,2018-01-07
左氧氟沙星,京第一制药,0.0,0.0,0.0,2018-01-01,2018-01-07
盐酸左氧氟沙星注射液,扬子江,1200.0,-400.0,0.0,2018-01-01,2018-01-07
左氧氟沙星,浙江新昌,0.0,0.0,0.0,2018-01-01,2018-01-07
左氧氟沙星,浙江新昌,0.0,0.0,0.0,2018-01-01,2018-01-07
盐酸左氧氟沙星滴眼液,博士伦福瑞达,0.0,0.0,4940.0,2018-01-01,2018-01-07
盐酸左氧氟沙星片,苏恒瑞,0.0,-450.0,2700.0,2018-01-01,2018-01-07
盐酸左氧氟沙星注射液,扬子江,0.0,0.0,0.0,2018-01-01,2018-01-07
奥硝唑,南京海陵,0.0,0.0,0.0,2018-01-01,2018-01-07
奥硝唑,南京圣和,0.0,0.0,0.0,2018-01-01,2018-01-07
奥硝唑,哈尔滨誉衡,0.0,0.0,0.0,2018-01-01,2018-01-07
奥硝唑氯化钠,南京圣和,0.0,0.0,0.0,2018-01-01,2018-01-07
苯酰甲硝唑,津太和制药,0.0,0.0,0.0,2018-01-01,2018-01-07
甲硝维参阴道栓,吉林晶珠,0.0,-480.0,13648.2,2018-01-01,2018-01-07
甲硝唑片,华中药业,0.0,0.0,0.0,2018-01-01,2018-01-07
甲硝唑片,远大医药,0.0,0.0,0.0,2018-01-01,2018-01-07
甲硝唑氯化钠注射液,皖双鹤,0.0,0.0,0.0,2018-01-01,2018-01-07
甲硝唑氯化钠注射液,四川科伦,0.0,0.0,0.0,2018-01-01,2018-01-07
甲硝唑,津天骄制药,0.0,0.0,0.0,2018-01-01,2018-01-07
浓替硝唑含漱液,浙杭康海洋,0.0,0.0,0.0,2018-01-01,2018-01-07
浓替硝唑含漱液,苏晨牌,240.0,-240.0,2053.7,2018-01-01,2018-01-07
吗啉硝唑氯化钠注射液,苏豪森,0.0,0.0,0.0,2018-01-01,2018-01-07
利奈唑胺葡萄糖注射液,苏豪森,0.0,0.0,15444.0,2018-01-01,2018-01-07
氯霉素,合肥利民,0.0,0.0,0.0,2018-01-01,2018-01-07
氯霉素滴眼液,鲁博士伦福瑞达,0.0,0.0,0.0,2018-01-01,2018-01-07
克林霉素,苏州四药厂,0.0,0.0,0.0,2018-01-01,2018-01-07
盐酸克林霉素胶囊,重庆药友,0.0,0.0,0.0,2018-01-01,2018-01-07
克林霉素,西南合成,0.0,0.0,0.0,2018-01-01,2018-01-07
克林霉素,重庆凯林,0.0,0.0,0.0,2018-01-01,2018-01-07
克林霉素磷酸酯注射液,成都普什,5830.0,-4080.0,10745.0,2018-01-01,2018-01-07
盐酸林可霉素,沪旭东海普,0.0,0.0,0.0,2018-01-01,2018-01-07
硫酸抗敌素,沪新先锋,0.0,0.0,0.0,2018-01-01,2018-01-07
过氧苯甲酰凝胶,法国高德美,0.0,-132.0,3239.28,2018-01-01,2018-01-07
莫匹罗星软膏,天津史克,0.0,-20.0,10897.2,2018-01-01,2018-01-07
磷霉素氨丁三醇散,湖南华纳,0.0,0.0,0.0,2018-01-01,2018-01-07
注射用磷霉素钠,沈阳一药,1200.0,-100.0,1110.0,2018-01-01,2018-01-07
磷霉素,沪新亚药业,0.0,0.0,0.0,2018-01-01,2018-01-07
硝呋太尔阴道片,意大利多帕,0.0,0.0,0.0,2018-01-01,2018-01-07
硝呋太尔制霉素阴道软胶囊,国药川抗,423.0,-623.0,17208.0,2018-01-01,2018-01-07
吡嗪酰胺片,沪信谊,0.0,0.0,900.0,2018-01-01,2018-01-07
盐酸阿比多尔片[捐赠],石家庄四药,0.0,0.0,0.0,2018-01-01,2018-01-07
吡嗪酰胺片,苏太仓,0.0,0.0,0.0,2018-01-01,2018-01-07
利福喷丁,无锡山禾,0.0,0.0,0.0,2018-01-01,2018-01-07
利福平胶囊,沪信谊天平,0.0,0.0,0.0,2018-01-01,2018-01-07
利福平胶囊,沪信谊万象,0.0,-15.0,2275.0,2018-01-01,2018-01-07
利福平胶囊,杭州民生,0.0,0.0,0.0,2018-01-01,2018-01-07
利福霉素钠注射液,沈阳双鼎,0.0,0.0,0.0,2018-01-01,2018-01-07
注射用硫酸链霉素,华北制药,0.0,0.0,0.0,2018-01-01,2018-01-07
盐酸乙胺丁醇片,杭州民生,0.0,0.0,495.0,2018-01-01,2018-01-07
盐酸乙胺丁醇片,沪信谊总厂,0.0,0.0,0.0,2018-01-01,2018-01-07
异烟肼片,沪信谊总厂,0.0,0.0,0.0,2018-01-01,2018-01-07
异烟肼注射液,遂成药业,0.0,0.0,0.0,2018-01-01,2018-01-07
异烟肼注射液,津金耀氨基,400.0,-500.0,13583.0,2018-01-01,2018-01-07
异烟肼片,粤华南,0.0,0.0,0.0,2018-01-01,2018-01-07
异烟肼片,沈阳红旗,0.0,-16.0,3744.0,2018-01-01,2018-01-07
注射用醋酸卡泊芬净,苏恒瑞,0.0,0.0,0.0,2018-01-01,2018-01-07
氟康唑胶囊,辉瑞,720.0,-240.0,0.0,2018-01-01,2018-01-07
氟康唑氯化钠注射液,辉瑞,0.0,-144.0,31509.6,2018-01-01,2018-01-07
氟康唑,常州兰陵,0.0,0.0,0.0,2018-01-01,2018-01-07
氟康唑氯化钠,皖环球药业,0.0,0.0,0.0,2018-01-01,2018-01-07
氟康唑片,四川科伦,0.0,0.0,0.0,2018-01-01,2018-01-07
克霉唑阴道片,拜耳,0.0,0.0,0.0,2018-01-01,2018-01-07
克霉唑乳膏,天津药业,0.0,0.0,0.0,2018-01-01,2018-01-07
联苯苄唑乳膏,拜耳,0.0,0.0,249.8,2018-01-01,2018-01-07
注射用两性霉素B,华北制药,0.0,0.0,0.0,2018-01-01,2018-01-07
两性霉素B,沪新先锋,0.0,0.0,0.0,2018-01-01,2018-01-07
注射用两性霉素B脂质体,沪新亚,160.0,-160.0,42901.2,2018-01-01,2018-01-07
莫匹罗星,津史克必成,0.0,0.0,0.0,2018-01-01,2018-01-07
三维制霉素,武汉人福,0.0,0.0,0.0,2018-01-01,2018-01-07
酮康唑洗剂,南京白敬宇,0.0,0.0,0.0,2018-01-01,2018-01-07
硝酸咪康唑乳膏,杨森,0.0,0.0,3125.0,2018-01-01,2018-01-07
硝酸咪康唑栓,西安杨森,0.0,0.0,2934.0,2018-01-01,2018-01-07
咪康唑,西安杨森,0.0,0.0,0.0,2018-01-01,2018-01-07
硝酸舍他康唑乳膏,琼海神同洲,0.0,-240.0,13800.0,2018-01-01,2018-01-07
盐酸阿莫罗芬搽剂,法国高德美,0.0,0.0,0.0,2018-01-01,2018-01-07
盐酸布替萘芬乳膏,鲁南贝特,933.0,-933.0,7056.0,2018-01-01,2018-01-07
盐酸特比萘芬乳膏,津史克,0.0,0.0,0.0,2018-01-01,2018-01-07
盐酸特比萘芬,齐鲁制药,0.0,0.0,0.0,2018-01-01,2018-01-07
盐酸特比萘芬,京诺华,0.0,0.0,0.0,2018-01-01,2018-01-07
伊曲康唑胶囊,西安杨森,640.0,-320.0,19648.0,2018-01-01,2018-01-07
泊沙康唑口服混悬液,先灵葆雅,0.0,0.0,30800.0,2018-01-01,2018-01-07
伊曲康唑口服液,比利时杨森,0.0,0.0,0.0,2018-01-01,2018-01-07
伊曲康唑注射液,比利时杨森,0.0,0.0,0.0,2018-01-01,2018-01-07
制霉素,沪信谊总厂,0.0,0.0,0.0,2018-01-01,2018-01-07
阿昔洛韦片,沪信谊,0.0,-270.0,4788.0,2018-01-01,2018-01-07
注射用阿昔洛韦,湖北午时,0.0,0.0,1984.0,2018-01-01,2018-01-07
阿昔洛韦滴眼液,武汉五景,0.0,0.0,102.0,2018-01-01,2018-01-07
更昔洛韦胶囊,湖北科益,3400.0,-1300.0,51680.0,2018-01-01,2018-01-07
利巴韦林片,重庆科瑞,0.0,0.0,0.0,2018-01-01,2018-01-07
更昔洛韦,湖北科益,0.0,0.0,0.0,2018-01-01,2018-01-07
注射用更昔洛韦,湖北科益,1920.0,-1200.0,8736.0,2018-01-01,2018-01-07
利巴韦林注射液,辰欣药业,0.0,0.0,232.0,2018-01-01,2018-01-07
拉米夫定片,葛兰素,0.0,0.0,0.0,2018-01-01,2018-01-07
拉米夫定片,安徽贝克,400.0,0.0,0.0,2018-01-01,2018-01-07
那他霉素滴眼液,美国,0.0,0.0,1372.18,2018-01-01,2018-01-07
利巴韦林分散片,国药国瑞,400.0,0.0,197.6,2018-01-01,2018-01-07
注射用单磷酸阿糖腺苷,国药一心,1800.0,-2400.0,20988.0,2018-01-01,2018-01-07
磷酸奥司他韦颗粒,宜昌长江,3000.0,-3030.0,128744.0,2018-01-01,2018-01-07
磷酸奥司他韦胶囊,罗氏,0.0,0.0,0.0,2018-01-01,2018-01-07
利巴韦林注射液,沪禾丰,0.0,0.0,0.0,2018-01-01,2018-01-07
利巴韦林,沪信谊金朱,0.0,0.0,0.0,2018-01-01,2018-01-07
利巴韦林注射液,辰欣药业,0.0,0.0,0.0,2018-01-01,2018-01-07
富马酸替诺福韦二吡呋酯片,葛兰素史克,0.0,0.0,490.0,2018-01-01,2018-01-07
膦甲酸钠氯化钠注射液,苏正大天晴,561.0,-521.0,13860.0,2018-01-01,2018-01-07
阿德福韦酯片,齐鲁制药,0.0,0.0,0.0,2018-01-01,2018-01-07
喷昔洛韦乳膏,沪朝晖,0.0,0.0,1430.0,2018-01-01,2018-01-07
盐酸伐昔洛韦片,丽珠制药,0.0,0.0,0.0,2018-01-01,2018-01-07
恩替卡韦片,北京百奥,0.0,0.0,0.0,2018-01-01,2018-01-07
盐酸羟苄唑滴眼液,武汉五景,0.0,0.0,0.0,2018-01-01,2018-01-07
卡泊三醇搽剂,丹麦利奥,0.0,0.0,10513.65,2018-01-01,2018-01-07
酞丁安滴眼液,武汉五景,0.0,0.0,0.0,2018-01-01,2018-01-07
蓝芩口服液,扬子江,2000.0,-1680.0,16185.6,2018-01-01,2018-01-07
盐酸小檗碱片,赤峰蒙欣,0.0,-140.0,1180.0,2018-01-01,2018-01-07
大蒜素,沪,0.0,0.0,0.0,2018-01-01,2018-01-07
大蒜素,沪禾丰,0.0,0.0,0.0,2018-01-01,2018-01-07
注射用炎琥宁,重庆药友,0.0,0.0,0.0,2018-01-01,2018-01-07
炎琥宁,重庆药友,0.0,0.0,0.0,2018-01-01,2018-01-07
盐酸小檗碱胶囊,广东环球,0.0,0.0,0.0,2018-01-01,2018-01-07
盐酸小檗碱片,四川升和,0.0,0.0,0.0,2018-01-01,2018-01-07
碱式水杨酸铋,苏苏中,0.0,0.0,0.0,2018-01-01,2018-01-07
注射用青蒿琥酯,"政府补助,桂林南药",0.0,0.0,0.0,2018-01-01,2018-01-07
蒿甲醚注射液,昆明制药,0.0,0.0,610.5,2018-01-01,2018-01-07
磷酸氯喹片/磷酸伯氨喹片,"政府补助,沪中西",0.0,0.0,0.0,2018-01-01,2018-01-07
吡喹酮,京紫竹药业,0.0,0.0,0.0,2018-01-01,2018-01-07
吡喹酮,南京制药厂,0.0,0.0,0.0,2018-01-01,2018-01-07
阿苯达唑片,津史克,0.0,0.0,0.0,2018-01-01,2018-01-07
盐酸左旋咪唑片,南京白敬宇,0.0,0.0,0.0,2018-01-01,2018-01-07
盐酸左旋咪唑片,浙江瑞新,0.0,0.0,0.0,2018-01-01,2018-01-07
复方环磷酰胺片,通化茂祥,0.0,0.0,0.0,2018-01-01,2018-01-07
苯丁酸氮芥片,ASPEN公司,0.0,0.0,826.05,2018-01-01,2018-01-07
磷酸雌莫司汀胶囊,辉瑞,0.0,0.0,0.0,2018-01-01,2018-01-07
注射用环磷酰胺,苏恒瑞医药,0.0,0.0,0.0,2018-01-01,2018-01-07
盐酸多柔比星脂质体注射液,石药欧意,0.0,0.0,109472.0,2018-01-01,2018-01-07
注射用环磷酰胺,苏恒瑞,0.0,-300.0,1251.0,2018-01-01,2018-01-07
环磷酰胺片,通化茂祥,0.0,0.0,6034.0,2018-01-01,2018-01-07
卡莫司汀注射液,津金耀氨基,0.0,0.0,0.0,2018-01-01,2018-01-07
来那度胺胶囊,苏正大天晴,0.0,0.0,0.0,2018-01-01,2018-01-07
注射用甲氨蝶呤,山西普德,348.0,-348.0,8896.1,2018-01-01,2018-01-07
司莫司汀胶囊,浙江瑞新,0.0,0.0,0.0,2018-01-01,2018-01-07
注射用甲氨蝶呤,山西普德,0.0,0.0,0.0,2018-01-01,2018-01-07
